Thu 27 Jul 2017 13:49:01 API.py [line:222] ERROR 400 statuses/filter text {u'delete': {u'status': {u'user_id_str': u'381308128', u'user_id': 381308128, u'id': 762297774130036736L, u'id_str': u'762297774130036736'}, u'timestamp_ms': u'1501134510354'}}
Thu 27 Jul 2017 13:49:01 API.py [line:222] ERROR 400 statuses/filter text {u'delete': {u'status': {u'user_id_str': u'456775778', u'user_id': 456775778, u'id': 765253658753634305L, u'id_str': u'765253658753634305'}, u'timestamp_ms': u'1501134510479'}}
Thu 27 Jul 2017 13:49:02 API.py [line:222] ERROR 400 statuses/filter text {u'delete': {u'status': {u'user_id_str': u'714947334', u'user_id': 714947334, u'id': 762447437080334336L, u'id_str': u'762447437080334336'}, u'timestamp_ms': u'1501134510534'}}
Thu 27 Jul 2017 13:49:02 API.py [line:222] ERROR 400 statuses/filter text {u'delete': {u'status': {u'user_id_str': u'394392730', u'user_id': 394392730, u'id': 777501117949239296L, u'id_str': u'777501117949239296'}, u'timestamp_ms': u'1501134510628'}}
Thu 27 Jul 2017 13:49:05 API.py [line:222] ERROR 400 statuses/filter text {u'delete': {u'status': {u'user_id_str': u'4180352153', u'user_id': 4180352153L, u'id': 764678300774100992L, u'id_str': u'764678300774100992'}, u'timestamp_ms': u'1501134527391'}}
Thu 27 Jul 2017 13:49:07 API.py [line:222] ERROR 400 statuses/filter text {u'delete': {u'status': {u'user_id_str': u'40334543', u'user_id': 40334543, u'id': 777547991825522693L, u'id_str': u'777547991825522693'}, u'timestamp_ms': u'1501134510972'}}
Thu 27 Jul 2017 13:49:07 API.py [line:222] ERROR 400 statuses/filter text {u'delete': {u'status': {u'user_id_str': u'714947334', u'user_id': 714947334, u'id': 777535563096264704L, u'id_str': u'777535563096264704'}, u'timestamp_ms': u'1501134510964'}}
Thu 27 Jul 2017 13:49:07 API.py [line:222] ERROR 400 statuses/filter text {u'delete': {u'status': {u'user_id_str': u'559720879', u'user_id': 559720879, u'id': 777534606031618048L, u'id_str': u'777534606031618048'}, u'timestamp_ms': u'1501134510961'}}
Thu 27 Jul 2017 13:49:08 API.py [line:222] ERROR 400 statuses/filter text {u'delete': {u'status': {u'user_id_str': u'36972878', u'user_id': 36972878, u'id': 777914639053000704L, u'id_str': u'777914639053000704'}, u'timestamp_ms': u'1501134531892'}}
Thu 27 Jul 2017 13:49:08 API.py [line:222] ERROR 400 statuses/filter text {u'delete': {u'status': {u'user_id_str': u'29851314', u'user_id': 29851314, u'id': 763305715993866240L, u'id_str': u'763305715993866240'}, u'timestamp_ms': u'1501134532394'}}
Thu 27 Jul 2017 13:49:08 API.py [line:222] ERROR 400 statuses/filter text {u'delete': {u'status': {u'user_id_str': u'90035806', u'user_id': 90035806, u'id': 890448288050237440L, u'id_str': u'890448288050237440'}, u'timestamp_ms': u'1501134532449'}}
Thu 27 Jul 2017 13:49:08 API.py [line:222] ERROR 400 statuses/filter text {u'delete': {u'status': {u'user_id_str': u'1047319182', u'user_id': 1047319182, u'id': 777542740531879937L, u'id_str': u'777542740531879937'}, u'timestamp_ms': u'1501134500541'}}
Thu 27 Jul 2017 13:49:08 API.py [line:222] ERROR 400 statuses/filter text {u'delete': {u'status': {u'user_id_str': u'723896723794440193', u'user_id': 723896723794440193L, u'id': 765185960959238144L, u'id_str': u'765185960959238144'}, u'timestamp_ms': u'1501134511181'}}
Thu 27 Jul 2017 13:49:08 API.py [line:222] ERROR 400 statuses/filter text {u'delete': {u'status': {u'user_id_str': u'714947334', u'user_id': 714947334, u'id': 762802622122323970L, u'id_str': u'762802622122323970'}, u'timestamp_ms': u'1501134511293'}}
Thu 27 Jul 2017 13:49:08 API.py [line:222] ERROR 400 statuses/filter text {u'delete': {u'status': {u'user_id_str': u'570115053', u'user_id': 570115053, u'id': 777700783487787008L, u'id_str': u'777700783487787008'}, u'timestamp_ms': u'1501134511355'}}
Thu 27 Jul 2017 13:49:09 API.py [line:222] ERROR 400 statuses/filter text {u'delete': {u'status': {u'user_id_str': u'43485094', u'user_id': 43485094, u'id': 762446919964631040L, u'id_str': u'762446919964631040'}, u'timestamp_ms': u'1501134534565'}}
Thu 27 Jul 2017 13:49:09 API.py [line:222] ERROR 400 statuses/filter text {u'delete': {u'status': {u'user_id_str': u'39755667', u'user_id': 39755667, u'id': 765671821702160384L, u'id_str': u'765671821702160384'}, u'timestamp_ms': u'1501134511627'}}
Thu 27 Jul 2017 13:49:09 API.py [line:222] ERROR 400 statuses/filter text {u'delete': {u'status': {u'user_id_str': u'570115053', u'user_id': 570115053, u'id': 762843264575602690L, u'id_str': u'762843264575602690'}, u'timestamp_ms': u'1501134511593'}}
Thu 27 Jul 2017 13:49:09 API.py [line:222] ERROR 400 statuses/filter text {u'delete': {u'status': {u'user_id_str': u'1242171468', u'user_id': 1242171468, u'id': 762853404435632130L, u'id_str': u'762853404435632130'}, u'timestamp_ms': u'1501134511620'}}
Thu 27 Jul 2017 13:49:09 API.py [line:222] ERROR 400 statuses/filter text {u'delete': {u'status': {u'user_id_str': u'66265121', u'user_id': 66265121, u'id': 762855664100048898L, u'id_str': u'762855664100048898'}, u'timestamp_ms': u'1501134511632'}}
Thu 27 Jul 2017 13:49:09 API.py [line:222] ERROR 400 statuses/filter text {u'delete': {u'status': {u'user_id_str': u'714947334', u'user_id': 714947334, u'id': 765679617969709056L, u'id_str': u'765679617969709056'}, u'timestamp_ms': u'1501134511754'}}
Thu 27 Jul 2017 13:49:09 API.py [line:222] ERROR 400 statuses/filter text {u'delete': {u'status': {u'user_id_str': u'21857709', u'user_id': 21857709, u'id': 765680132396810240L, u'id_str': u'765680132396810240'}, u'timestamp_ms': u'1501134511764'}}
